主机 IP,主机名,主机状态,业务组,操作系统,系统版本,内核版本,CPU内核数,内存容量,特征,主机备注,整机CPU占用,整机内存占用,内网 IP,外网 IP,主机开机时长
10.110.12.59,PSEAredis02,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,31.3 GB,[09NotReady],IDM,3.08%,38.95%,10.110.12.59,10.110.12.59,12313h29m52s
10.110.12.58,PSEAredis01,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,31.3 GB,[09NotReady],IDM,3.30%,40.91%,10.110.12.58,10.110.12.58,12313h29m44s
10.110.12.57,PSEAApp02,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,16,63.1 GB,[09NotReady],IDM,5.21%,20.48%,10.110.12.57,10.110.12.57,12313h30m14s
10.110.12.55,PSEA_Ngx,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,31.5 GB,[09NotReady],IDM,6.70%,7.57%,10.110.12.55,10.110.12.55,12313h30m16s
10.110.12.56,PSEAApp01,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,16,63.1 GB,[09NotReady],IDM,1.73%,20.17%,10.110.12.56,10.110.12.56,12313h29m33s
10.110.12.182,PSEACBIM03,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,32,63.1 GB,[09NotReady],IDM,1.31%,32.78%,10.110.12.182,10.110.12.182,12313h30m51s
10.110.12.181,PSEACBIM02,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,32,62.5 GB,[09NotReady],IDM,1.85%,39.77%,10.110.12.181,10.110.12.181,12313h29m40s
10.110.12.180,PSEACBIM01,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,32,62.5 GB,[09NotReady],IDM,1.40%,34.76%,10.110.12.180,10.110.12.180,12313h31m41s
10.110.14.177,ttm20apsnacos,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,4,3.8 GB,[09NotReady],,8.15%,48.17%,10.110.14.177,10.110.14.177,9254h29m8s
10.110.14.176,ttm20apssched,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,4,7.7 GB,[09NotReady],,9.04%,61.62%,10.110.14.176,10.110.14.176,10719h53m28s
10.110.14.175,ttm20apsgate,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,4,3.8 GB,[09NotReady],,7.11%,47.67%,10.110.14.175,10.110.14.175,9288h31m40s
10.110.14.174,ttm20apsconf,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,4,3.8 GB,[09NotReady],,4.10%,45.31%,10.110.14.174,10.110.14.174,11827h57m31s
10.100.7.12,prdpdb02_new,online,上海OLED（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,31.1 GB,[09NotReady],,3.40%,71.08%,10.100.7.12,10.100.7.12,12330h56m11s
10.100.7.11,prdpdb01_new,online,上海OLED（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,62.5 GB,[09NotReady],,9.87%,40.40%,10.100.7.11,10.100.7.11,12330h56m34s
172.25.132.2,HikvisionOS,online,厦门LTPS弱管理区linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.12.2.el7.x86_64,20,125.4 GB,[09NotReady],,7.56%,14.06%,172.25.132.2,172.25.132.2,379h17m54s
10.105.10.25,TM18VCS05,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),4,10.0 GB,[09NotReady],,15.98%,87.12%,10.105.10.25,10.105.10.25,783h2m36s
10.101.252.11,PYKTWH02,online,武汉G6Windows,Windows Server,2016 Standard,10.0.14393.7513 (rs1_release.241021-1750),40,31.9 GB,[09NotReady],,0.46%,13.21%,10.101.252.11,10.101.252.11,10144h48m57s
10.110.14.173,ttm20apsalgo,online,上海G4.5（数据中心）Linux,Anolis OS,7.9,5.4.247-1.el7.elrepo.x86_64,16,31.3 GB,[09NotReady],,1.30%,15.34%,10.110.14.173,10.110.14.173,9238h44m9s
10.110.14.76,TBI-UATApp02,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,16,63.1 GB,[09NotReady],,2.37%,59.29%,10.110.14.76,10.110.14.76,12455h15m28s
10.110.14.75,TBI-UATApp01,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,16,63.1 GB,[09NotReady],,5.43%,68.18%,10.110.14.75,10.110.14.75,12455h15m44s
10.110.14.77,TBI-UATNgx,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,63.3 GB,[09NotReady],,6.37%,47.15%,10.110.14.77,10.110.14.77,12455h15m17s
10.110.16.59,TBINgx,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,31.3 GB,[09NotReady],,11.29%,46.52%,10.110.16.59,10.110.16.59,12455h43m56s
10.110.16.58,TBIApp2,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,16,63.1 GB,[09NotReady],,4.53%,64.23%,10.110.16.58,10.110.16.58,12455h43m49s
10.110.16.57,TBIApp1,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,16,63.1 GB,[09NotReady],,4.62%,68.34%,10.110.16.57,10.110.16.57,12455h43m53s
172.18.1.73,SH-iarRL78,online,上海G4.5Windows,Windows Server,2019 Standard,10.0.17763.7009 (WinBuild.160101.0800),4,8.0 GB,[09NotReady],,2.92%,30.74%,172.18.1.73,172.18.1.73,6426h31m59s
10.115.90.203,SZLHBLJLOG01,online,深圳龙华windows,Windows Server,2016 Standard,10.0.14393.7604 (rs1_release.241127-1746),4,8.0 GB,[09NotReady],,5.09%,59.19%,10.115.90.203,10.115.90.203,2245h19m18s
10.115.91.217,SZLHDAFS01,online,深圳龙华windows,Windows Server,2016 Standard,10.0.14393.7604 (rs1_release.241127-1746),4,4.0 GB,[09NotReady],,7.28%,77.93%,10.115.91.217,10.115.91.217,2245h15m10s
10.101.185.2,p1nginxap02,online,武汉G6Linux,Red Hat Enterprise Linux Server,7.6 (Maipo),3.10.0-957.el7.x86_64,32,62.1 GB,[09NotReady],,0.40%,7.13%,10.101.185.2,10.101.185.2,23685h51m7s
172.18.1.109,NS2,online,上海G4.5Windows,Windows Server,2019 Datacenter,10.0.17763.8146 (WinBuild.160101.0800),16,32.0 GB,[09NotReady 域控],域控,16.22%,32.32%,172.18.1.109,172.18.1.109,968h5m25s
10.110.17.62,PApiExtApp02,online,上海G4.5（数据中心）Linux,openEuler,24.03 (LTS),6.6.0-28.0.0.34.oe2403.x86_64,8,30.8 GB,[09NotReady],,4.66%,21.53%,10.110.17.62,10.110.17.62,12595h3m23s
10.110.17.61,PApiExtApp01,online,上海G4.5（数据中心）Linux,openEuler,24.03 (LTS),6.6.0-28.0.0.34.oe2403.x86_64,8,30.8 GB,[09NotReady],,7.18%,20.80%,10.110.17.61,10.110.17.61,12595h4m15s
10.123.1.144,jsth-hdjt,online,江苏天华Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,4,7.5 GB,[09NotReady],,1.28%,7.92%,10.123.1.144,10.123.1.144,957h47m52s
172.17.60.106,paila-a,online,上海G5Linux,CentOS Linux,7.5.1804 (Core) ,3.10.0-862.el7.x86_64,32,31.1 GB,[09NotReady],,1.06%,54.30%,172.17.60.106,172.17.60.106,24788h42m30s
172.17.60.5,helpdesktools,online,上海G5Windows,Windows Server,2016 Datacenter,10.0.14393.7513 (rs1_release.241021-1750),8,16.0 GB,[09NotReady],,1.16%,23.13%,172.17.60.5,172.17.60.5,9591h39m33s
172.28.1.2,CO-DHCP-MASTER,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.6530 (WinBuild.160101.0800),8,8.0 GB,[09NotReady],,26.67%,58.63%,172.28.1.2,172.28.1.2,9591h26m15s
10.110.18.49,PBIbakDb,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,16,31.3 GB,[09NotReady],,1.55%,23.99%,10.110.18.49,10.110.18.49,12642h13m13s
10.110.18.48,PBIDb,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,47.1 GB,[09NotReady],,12.72%,58.88%,10.110.18.48,10.110.18.48,12642h12m43s
10.110.18.47,PBIApp2,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,16,125.5 GB,[09NotReady],,9.20%,75.57%,10.110.18.47,10.110.18.47,12642h13m13s
10.110.18.46,PBIApp1,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,16,125.5 GB,[09NotReady],,20.01%,62.63%,10.110.18.46,10.110.18.46,12642h12m58s
10.100.111.153,WIN-QBK3862VS5J,online,上海OLED（基地业务）Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,8.0 GB,[09NotReady],,2.57%,65.73%,10.100.111.153,10.100.111.153,9310h55m7s
10.100.111.28,TMOLEDBS1008,online,上海OLED（基地业务）Windows,Windows Server,2012 R2 Standard,6.3.9600.19358 (winblue_ltsb_escrow.190505-1600),8,16.0 GB,[09NotReady],,1.18%,42.71%,10.100.111.28,10.100.111.28,12864h1m6s
10.100.111.15,TMOLEDPVS0005,online,上海OLED（基地业务）Windows,Windows Server,2012 R2 Standard,6.3.9600.18821 (winblue_ltsb.170914-0600),8,16.0 GB,[09NotReady],,0.91%,47.03%,10.100.111.15,10.100.111.15,1320h54m27s
10.105.65.90,xmoledDS-DSM01,online,厦门T18Linux,openEuler,22.03 (LTS-SP3),5.10.0-182.0.0.95.oe2203sp3.x86_64,8,17.1 GB,[09NotReady],,9.21%,57.01%,10.105.65.90,10.105.65.90,2616h37m56s
10.110.12.230,tmwhg6cae02,online,上海G4.5（数据中心）Linux,Red Hat Enterprise Linux Server,7.6 (Maipo),3.10.0-957.el7.x86_64,192,755.4 GB,[09NotReady],,47.72%,81.79%,10.110.12.230,10.110.12.230,4578h17m35s
172.18.2.124,pyfdesgn,online,上海G4.5（数据中心）Linux,CentOS,6.8 (Final),2.6.32-642.6.1.el6.x86_64,24,125.9 GB,[09NotReady],,46.01%,7.20%,172.18.2.124,172.18.2.124,35543h13m42s
10.100.8.202,HuiTu.tianma.cn,online,上海OLED（数据中心）Linux,CentOS,6.9 (Final),2.6.32-696.el6.x86_64,32,252.0 GB,[09NotReady],,78.85%,43.61%,10.100.8.202,10.100.8.202,2065h10m53s
10.100.8.201,tftlcd3,online,上海OLED（数据中心）Linux,CentOS,6.8 (Final),2.6.32-696.el6.x86_64,64,298.9 GB,[09NotReady],,11.36%,19.63%,10.100.8.201,10.100.8.201,1571h5m19s
10.110.18.36,pcdhwrk6.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.12.2.el7.x86_64,64,503.4 GB,[09NotReady],,0.81%,11.45%,10.110.18.36,10.110.18.36,7244h5m59s
10.110.18.35,pcdhwrk5.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.12.2.el7.x86_64,64,503.4 GB,[09NotReady],,0.92%,12.85%,10.110.18.35,10.110.18.35,21769h29m11s
10.110.18.34,pcdhwrk4.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.12.2.el7.x86_64,64,503.4 GB,[09NotReady],,0.71%,10.58%,10.110.18.34,10.110.18.34,4006h52m34s
10.110.18.33,pcdhwrk3.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.12.2.el7.x86_64,64,503.4 GB,[09NotReady],,0.91%,8.44%,10.110.18.33,10.110.18.33,8589h55m46s
10.110.18.32,pcdhwrk2.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.12.2.el7.x86_64,64,503.4 GB,[09NotReady],,1.12%,21.33%,10.110.18.32,10.110.18.32,12622h23m7s
10.110.18.31,pcdhwrk1.tianma.cn,online,上海G4.5（数据中心）Linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.12.2.el7.x86_64,64,503.4 GB,[09NotReady],,0.75%,10.91%,10.110.18.31,10.110.18.31,625h54m0s
10.110.12.64,papsdb01,online,上海G4.5（数据中心）Linux,Oracle Linux Server,7.9 (Maipo),5.4.17-2136.319.1.2.el7uek.x86_64,8,31.1 GB,[09NotReady],,8.51%,80.31%,10.110.12.64,10.110.12.64,23592h0m26s
10.100.7.125,psdp1master1.tianma.cn,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,31.2 GB,[09NotReady],,7.42%,34.23%,10.100.7.125,10.100.7.125,4072h38m36s
10.100.7.126,psdp1master2.tianma.cn,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,31.2 GB,[09NotReady],,9.54%,35.99%,10.100.7.126,10.100.7.126,4072h35m28s
10.100.7.127,psdp1master3.tianma.cn,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,31.2 GB,[09NotReady],,6.36%,32.33%,10.100.7.127,10.100.7.127,4072h33m36s
172.18.25.100,tioa,online,上海G4.5（数据中心）Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,8,31.4 GB,[09NotReady DMZ区服务器],,32.18%,37.17%,172.18.25.100,172.18.25.100,5418h22m58s
10.100.7.128,psdp1infra1.tianma.cn,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,4,15.5 GB,[09NotReady],,7.54%,14.86%,10.100.7.128,10.100.7.128,16527h51m12s
10.100.7.129,psdp1infra2.tianma.cn,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,4,15.5 GB,[09NotReady],,6.63%,14.83%,10.100.7.129,10.100.7.129,16527h50m10s
10.100.7.130,psdp1infra3.tianma.cn,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,8,31.5 GB,[09NotReady],,42.20%,45.26%,10.100.7.130,10.100.7.130,5632h17m52s
10.100.7.131,psdp1worker1.tianma.cn,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,16,281.7 GB,[09NotReady],,15.63%,69.62%,10.100.7.131,10.100.7.131,5632h36m7s
10.100.7.132,psdp1worker2.tianma.cn,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,16,281.7 GB,[09NotReady],,10.94%,70.50%,10.100.7.132,10.100.7.132,5632h29m35s
10.100.7.133,psdp1worker3.tianma.cn,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,24,283.3 GB,[09NotReady],,10.00%,50.12%,10.100.7.133,10.100.7.133,16168h21m58s
10.100.7.134,psdp1worker4.tianma.cn,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,16,281.7 GB,[09NotReady],,13.69%,77.41%,10.100.7.134,10.100.7.134,5632h23m36s
10.100.7.135,psdp1proxy.tianma.cn,online,上海OLED（数据中心）Linux,Anolis OS,7.9,3.10.0-1160.an7.x86_64,4,7.6 GB,[09NotReady],,2.26%,16.41%,10.100.7.135,10.100.7.135,16527h41m58s
172.18.2.30,SH-Minitab,online,上海G4.5Windows,Windows Server,2016 Standard,10.0.14393.7604 (rs1_release.241127-1746),8,8.0 GB,[09NotReady],,8.96%,66.25%,172.18.2.30,172.18.2.30,3193h43m5s
172.22.30.9,CXWHG45BACKVSA,online,武汉G4.5Windows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),8,10.0 GB,[09NotReady],,1.68%,18.22%,172.22.30.9,172.22.30.9,68h21m27s
10.100.6.50,DDevMql1,online,上海OLED（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,16,63.1 GB,[09NotReady],,1.10%,49.30%,10.100.6.50,10.100.6.50,12696h17m50s
10.103.32.123,TMCTXLIC0002,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),2,4.0 GB,[09NotReady],,5.42%,48.32%,10.103.32.123,10.103.32.123,1230h11m3s
10.103.32.32,TMXMPPVS02,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),4,16.0 GB,[09NotReady],,1.98%,22.70%,10.103.32.32,10.103.32.32,1230h15m23s
172.25.117.245,WIN-L87CTG22FAS,online,厦门LTPS弱管理区windows,Windows Server,2019 Standard,10.0.17763.107 (WinBuild.160101.0800),40,31.5 GB,[09NotReady],,0.18%,82.41%,172.25.117.245,172.25.117.245,7505h4m0s
10.112.66.104,k8s-jdy04,online,厦门TM19Linux,Red Hat Enterprise Linux Server,7.9 (Maipo),3.10.0-1160.el7.x86_64,8,15.5 GB,[09NotReady],,5.31%,49.89%,10.112.66.104,10.112.66.104,9142h58m29s
10.112.66.103,k8s-jdy03,online,厦门TM19Linux,Red Hat Enterprise Linux Server,7.9 (Maipo),3.10.0-1160.el7.x86_64,20,47.0 GB,[09NotReady],,2.88%,85.82%,10.112.66.103,10.112.66.103,13648h37m7s
10.112.66.101,k8s-jdy01,online,厦门TM19Linux,Red Hat Enterprise Linux Server,7.9 (Maipo),3.10.0-1160.el7.x86_64,40,78.5 GB,[09NotReady],,3.03%,85.22%,10.112.66.101,10.112.66.101,13648h35m24s
10.112.66.102,k8s-jdy02,online,厦门TM19Linux,Red Hat Enterprise Linux Server,7.9 (Maipo),3.10.0-1160.el7.x86_64,40,78.5 GB,[09NotReady],,2.41%,63.66%,10.112.66.102,10.112.66.102,9133h34m16s
10.123.1.19,JSTH-IARLic,online,江苏天华Windows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),4,8.0 GB,[09NotReady],,2.70%,22.56%,10.123.1.19,10.123.1.19,353h8m43s
172.25.34.34,TMXMAPPSERVER01,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8246 (rs1_release.250702-2330),16,24.0 GB,[09NotReady],,11.08%,25.98%,172.25.34.34,172.25.34.34,116h54m0s
172.18.13.27,PELMIndexes,online,上海G4.5（数据中心）Linux,Red Hat Enterprise Linux,8.9 (Ootpa),4.18.0-513.5.1.el8_9.x86_64,16,31.3 GB,[09NotReady],,2.73%,27.60%,172.18.13.27,172.18.13.27,10247h15m28s
10.110.101.110,pidsnew,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,48,125.5 GB,[09NotReady],,6.12%,26.13%,10.110.101.110,10.110.101.110,13601h43m37s
10.110.12.157,PEHRDB01,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,23.2 GB,[09NotReady],,3.32%,27.28%,10.110.12.157,10.110.12.157,12810h16m45s
10.101.4.82,tjump09,online,上海G4.5（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),8,18.0 GB,[09NotReady],,0.81%,18.67%,10.101.4.82,10.101.4.82,1192h47m30s
10.101.2.70,TMWHG6MBS001,online,武汉G6Linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.el7.x86_64,8,31.3 GB,[09NotReady],,8.31%,96.11%,10.101.2.70,10.101.2.70,15715h5m49s
10.101.2.63,phecap03,online,武汉G6Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,16.0 GB,[09NotReady],,5.38%,39.74%,10.101.2.63,10.101.2.63,6717h46m55s
10.101.2.52,pmbsap02,online,武汉G6Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,16.0 GB,[09NotReady],,1.91%,64.30%,10.101.2.52,10.101.2.52,10704h59m54s
10.105.65.93,xmoledDS-SQL,online,厦门T18Linux,openEuler,22.03 (LTS-SP3),5.10.0-182.0.0.95.oe2203sp3.x86_64,16,30.8 GB,[09NotReady],,26.35%,11.00%,10.105.65.93,10.105.65.93,11619h21m9s
10.112.233.6,TM19ITRemote,online,厦门TM19Windows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,1.83%,33.31%,10.112.233.6,10.112.233.6,256h4m55s
172.18.13.26,PELMApp03,online,上海G4.5（数据中心）Linux,Red Hat Enterprise Linux,8.9 (Ootpa),4.18.0-513.5.1.el8_9.x86_64,16,95.3 GB,[09NotReady],,40.25%,38.49%,172.18.13.26,172.18.13.26,11855h51m7s
172.18.13.25,PELMApp02,online,上海G4.5（数据中心）Linux,Red Hat Enterprise Linux,8.9 (Ootpa),4.18.0-513.5.1.el8_9.x86_64,16,95.3 GB,[09NotReady],,9.23%,42.70%,172.18.13.25,172.18.13.25,11855h40m13s
172.18.13.24,PELMApp01,online,上海G4.5（数据中心）Linux,Red Hat Enterprise Linux,8.9 (Ootpa),4.18.0-513.5.1.el8_9.x86_64,16,95.3 GB,[09NotReady],,2.61%,13.53%,172.18.13.24,172.18.13.24,11855h25m8s
10.120.1.11,DC25,online,芜湖Windows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),8,16.0 GB,[09NotReady 域控],域控,16.92%,45.83%,10.120.1.11,10.120.1.11,35h54m11s
10.101.7.77,TMWHG6DDC0002,online,武汉G6Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,10.0 GB,[09NotReady],,3.94%,55.19%,10.101.7.77,10.101.7.77,3528h22m56s
10.101.2.51,pmbsap01,online,上海G4.5（数据中心）Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,32.0 GB,[09NotReady],,6.32%,74.37%,10.101.2.51,10.101.2.51,10704h57m31s
10.110.1.96,k8s-node06,online,上海G4.5Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,64,188.4 GB,[09NotReady],鸿翼网盘,3.85%,41.81%,10.110.1.96,10.110.1.96,19680h0m46s
10.101.4.63,thecap02,online,武汉G6Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,8.0 GB,[09NotReady],,5.75%,67.29%,10.101.4.63,10.101.4.63,7097h42m5s
172.22.100.71,PYKTWH02-TEST,online,武汉G4.5Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),8,8.0 GB,[09NotReady],,2.73%,28.41%,172.22.100.71,172.22.100.71,352h46m37s
10.101.7.211,TMCTXLIC0001,online,武汉G6Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,10.0 GB,[09NotReady],,2.25%,39.32%,10.101.7.211,10.101.7.211,7265h38m58s
10.101.7.78,TMWHG6PVS0001,online,武汉G6Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,16.0 GB,[09NotReady],,14.58%,46.40%,10.101.7.78,10.101.7.78,717h9m12s
10.101.4.78,pjump05,online,上海OLED（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),16,48.0 GB,[09NotReady],,16.19%,36.86%,10.101.4.78,10.101.4.78,1174h34m53s
10.101.7.76,TMWHG6DDC0001,online,武汉G6Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,10.0 GB,[09NotReady],,3.46%,57.43%,10.101.7.76,10.101.7.76,3528h23m57s
10.101.7.1,WHG6CT01,online,武汉G6Windows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,2.29%,21.29%,10.101.7.1,10.101.7.1,157h41m10s
10.101.7.81,TMWHG6PVS0004,online,武汉G6Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,20.0 GB,[09NotReady],,4.24%,70.72%,10.101.7.81,10.101.7.81,2318h41m31s
10.101.7.22,TMWHG6SF0002,online,武汉G6Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,12.0 GB,[09NotReady],,6.08%,57.00%,10.101.7.22,10.101.7.22,1475h45m17s
10.101.7.82,TMWHG6PVS0005,online,武汉G6Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),8,20.0 GB,[09NotReady],,5.90%,67.83%,10.101.7.82,10.101.7.82,2318h42m40s
172.29.101.122,CXCOSF0002,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.6530 (WinBuild.160101.0800),4,8.0 GB,[09NotReady],,2.17%,48.46%,172.29.101.122,172.29.101.122,8246h17m32s
172.29.101.132,CXCOPVS0003,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.7434 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,1.71%,69.53%,172.29.101.132,172.29.101.132,5197h56m39s
172.29.101.201,CXCODHCP0002,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.6530 (WinBuild.160101.0800),4,8.0 GB,[09NotReady],,2.69%,33.56%,172.29.101.201,172.29.101.201,8245h59m37s
172.29.101.200,CXCODHCP0001,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.6414 (WinBuild.160101.0800),4,8.0 GB,[09NotReady],,2.49%,40.91%,172.29.101.200,172.29.101.200,11079h11m43s
172.29.101.113,CXCODDC0004,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.6414 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,2.21%,48.11%,172.29.101.113,172.29.101.113,11078h21m34s
172.29.101.101,CXCODB0002,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.6414 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,2.48%,66.31%,172.29.101.101,172.29.101.101,11078h55m43s
172.29.101.121,CXCOSF0001,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.6414 (WinBuild.160101.0800),4,8.0 GB,[09NotReady],,2.11%,52.95%,172.29.101.121,172.29.101.121,11078h12m21s
172.29.101.126,CXCODR0001,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.7558 (WinBuild.160101.0800),4,8.0 GB,[09NotReady],,2.14%,35.36%,172.29.101.126,172.29.101.126,4216h42m18s
172.29.101.112,CXCODDC0003,online,上海G5Windows,Windows Server,2019 Standard,10.0.17763.8146 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,1.66%,41.34%,172.29.101.112,172.29.101.112,1025h1m21s
10.101.4.76,tjump03-new,online,上海OLED（数据中心）Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),16,96.0 GB,[09NotReady],,7.83%,16.15%,10.101.4.76,10.101.4.76,297h24m46s
10.110.1.95,k8s-node05,online,上海G4.5Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,64,188.4 GB,[09NotReady],鸿翼网盘,6.47%,42.33%,10.110.1.95,10.110.1.95,19404h38m27s
172.17.60.102,powerbi_test,online,上海G5Windows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,16.0 GB,[09NotReady],,5.00%,83.58%,172.17.60.102,172.17.60.102,9647h44m17s
